PhD,Postdoctoral,Master,Germany,Canada,Australia,USA,Switzerland
"🇺🇸 Phd/Postdoc Position, University of Massachusetts Lowell, US 

☑️ Integrating genetics and health data to discover common drug effects on cancer and Alzheimer's disease

👩🏻‍🏫 Dr. Rachel Melamed:

Recruiting PhD students or postdocs- spread the word 

",,,,,,,
"🇺🇸 PhD Position, St. John's University, USA 

☑️ Clinical Psychology

👩🏻‍🏫 Dr. Tamara Del Vecchio:

I will be recruiting a PhD student in the Clinical Psychology program St. John's University for Fall 2024!! My current research focuses on infant aggression and parenting.

",,,,,,,
"🇸🇪 PhD/Postdoc Position, Karolinska Institute, Sweden

☑️ membrane biophysics, lipid biosensors, cubosomes and lipid-cell interactions

👩🏻‍🏫 Dr. Hanna Barriga:

SO happy I've been awarded an ",,,,,,,
"🇺🇸 PhD/MS Positions, Ohio University, USA

☑️ Evolutionary Ecology

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 Psycho-oncology Post-doctoral Position Department of Psychiatry and Harold C. Simmons Comprehensive Cancer Center UT Southwestern Medical Center, Dallas, TX

To Apply:
Interested individuals should send via e-mail a current CV, cover letter that includes a statement of interest, and 3 letters of reference (1 from the current clinical training director of the graduate program, 1 from a clinical supervisor at a medical/health-oriented rotation, and 1 from a current internship supervisor) to:
Laura Howe-Martin, PhD, ABPP
UT Southwestern Medical Center
5323 Harry Hines Blvd.  
Dallas, TX 75390
",,,,,,,
"🏴󠁧󠁢󠁥󠁮󠁧󠁿 PhD/Postdoc Position, Imperial College London, England

☑️ Music Technology

👨🏻‍🏫 Dr. Andrew McPherson:

I'm going to be recruiting another PhD student and postdoc soon. It may take a while before the details are posted, but watch this space and email me if you're thinking of applying. (For this postdoc round I'm especially interested in people with embedded hardware experience.)

",,,,,,,
"🇺🇸 PhD/Postdoc Position, Stanford University, USA

☑️ Agriculture, Ecology, Environmental science

👩🏻‍🏫 Dr. Aidee Guzman:

I'm looking forward to recruiting lab techs, PhD students, and postdocs for the Agroecology Research Group. If you are interested in working with me, please reach out!!

",,,,,,,
"🇺🇸 PhD Position, University of Vermont, US

☑️ psychology, neuroscience, child development, family studies, or related

👩🏻‍🏫 Dr. Alexis Brieant:

The Family, Environment, Resilience, and Neurodevelopment (FERN) Lab is official! Learn more on our website-- I'll be reviewing PhD student applications this cycle! 🧠🌿

",,,,,,,
"🇨🇭PhD/Postdoc Position, EPFL, Switzerland

☑️ chromatin biology, biochemistry, biophysics or chemical biology

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, Auburn University, USA

- Computer Science
- Artificial Intelligence
- Machine Learning
- Symbolic AI
- Cognitive Science
- Computer Vision
- Robotics
- Data Science
- Sensori-motor Perception
- Event Understanding
- Graph-based Representations
- Multi-modal Data Analysis
- Spatio-temporal Perception
- Active Vision

👨🏻‍🏫 Dr. Sathyanarayanan Aakur:

📢📢 I am recruiting PhD students for our group at Auburn to work on open-world event understanding and active embodied vision! If you are interested in working with our group, reach out!

More info: ",,,,,,,
"🇺🇸 PhD Position, Arizona State University, USA

Physics
Applied Physics
Chemistry
Chemical Engineering
Electrical Engineering
Materials Science and Engineering
Mechanical Engineering

👨🏻‍🏫 Dr. Xin Xu:

🏜 My lab at ASU is seeking two PhD students starting in 2024 Spring/Fall to pioneer next generation energy technologies including solid-state batteries, carbon capture and fuel cells. Incoming PhD students in the Fulton Schools of Engineering will be funded as prestigious Fulton Fellows.
🙌 We enthusiastically encourage applications from various backgrounds in physics, applied physics, chemistry, chemical engineering, electrical engineering, materials science and engineering, mechanical engineering, and related fields.
🎉 Ready to embark on a journey of exploration and innovation? Send your CV and a one-page cover letter to Dr. Xu at ",,,,,,,
"🇺🇸 Postdoc/PhD/MS Positions, Yale School of Medicine, US

☑️ Microbiology, Biochemistry, Biology, Biotechnology

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇩🇪 PhD/Postdoc Position, Georg-Speyer-Haus University, Germany

☑️ Tumor Biology

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, University of Houston, US

☑️ Industrial engineering, Transportation 

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇳🇿 PhD Position, Massey University, New Zealand

👨🏻‍🏫 Dr. Ruggiero (Rino) Lovreglio:

Two ",,,,,,,
"🇩🇰 PhD Position, DTU, Denmark

☑️ Civil and Mechanical engineering

👨🏻‍🏫 Dr. Navid Ranjbar:

Interested in Functional Cementitious Composites? Then please apply for our Ph.D. position in the section for Digital Building Technology at DTU Civil and Mechanical Engineering.

 ",,,,,,,
"🇺🇸 PhD Position, University of Tennessee Knoxville, US

☑️ Industrial and System engineering

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, Northern Arizona University, USA 

☑️ Mechanical/Civil/Aerospace engineering, Machine learning 

👨🏻‍🏫 Dr. Subhayan De:


I am currently looking for motivated Ph.D. students to join me immediately at NAU to work on scientific machine learning. For details, please see the flyer and website: ",,,,,,,
"🇳🇱 PhD Position, TU Delft, Netherlands

- Biotechnology
- Microbiology
- Process Engineering
- Biology
- Bioengineering
- Chemical Engineering
- Environmental Engineering
- Biochemistry
- Synthetic Biology

👨🏻‍🏫 Dr. Jack Pronk:

The Department of Biotechnology of TU Delft is looking for a PhD candidate who is motivate to take microbial electrosynthesis (MES) to the next level, in a project that will define and tackle key scalability challenges. The new colleague will be part of successful and growing team studying process engineering and biology of MES system. More info:

",,,,,,,
"🇺🇸 PhD Position, University of Oklahoma, US

- Chemistry
- Chemical Engineering
- Materials Science and Engineering
- Rheology
- Interfacial Science
- Surfactants
- Colloid and Interface Science

👨🏻‍🏫 Dr. Reza Foudazi:

If you are a recent graduate (or graduating soon) and looking for a ",,,,,,,
"🇺🇸 PhD/MS Positions, NC State University, USA 

- Waste Management
- Waste-to-Energy
- Artificial Intelligence
- Single-Use Plastic
- Decarbonization
- Bioproducts
- Biorefinery
- Food Security
- Green Chemistry
- Advanced Manufacturing
- Smart Manufacturing

👨🏻‍🏫 Dr. Lokendra Pal:

Our group has several graduate research assistantship (GRA) opportunities. Please contact me via email (",,,,,,,
"🇺🇸 PhD Position, University of Florida, US

- Computer Science
- Computer Vision
- Machine Learning
- Evolutionary Biology
- Developmental Biology
- Genomics
- Marine Biology
- Invertebrate Zoology
- Mammalian Biology

👨🏻‍🏫 Dr. Arthur Porto:

my lab is recruiting PhD students for 2024, if that is something you might be interested (",,,,,,,
"🇺🇸 PhD Position, University of Wisconsin Milwaukee, US

☑️ Clinical Psychology and Neuroscience 

👩🏻‍🏫 Dr. Christine Larson:

Interested in studying trauma in graduate school? Consider joining our team at the University of Wisconsin-Milwaukee! I'm recruiting in clinical psych and neuroscience PhD programs for fall 2024. ",,,,,,,
"🇺🇸 PhD/Postdoc Position, University of Chicago, US

- Computer Science
- Data Science
- Information Visualization
- Human-Computer Interaction
- Software Engineering
- Data Analysis
- Computer Graphics
- Statistics
- Cognitive Science
- Artificial Intelligence

👨🏻‍🏫 Dr. Alex Kale:

I am recruiting PhD students and postdocs this year! If you’re excited about building and evaluating data visualization and analysis software, please consider applying to join my lab 

PhD program in CS ",,,,,,,
"🇳🇴 PhD Position, NMBU, Norway

☑️ hydrology, fish movement, and modelling 

👨🏻‍🏫 Dr. Louise Chavarie:

Alert: We are recruiting a PhD student!!! If you are interested in hydrology, fish movement, and modelling - this is for you! Conditions in Norway are amazing, including high salary...We hope to see your application! 
",,,,,,,
"🇩🇪 PhD Position, TU Hamburg, Germany


- Machine Learning
- Artificial Intelligence
- Human-Computer Interaction
- Computer Science
- Data Science

👨🏻‍🏫 Dr. Pierre-Alexandre Murena:

I am recruiting a ",,,,,,,
"🇨🇦 PhD Position, University of Alberta, Canada

- Materials Science and Engineering
- Metallurgical Engineering
- Materials Chemistry
- Surface Engineering
- Corrosion Engineering
- Alloy Design
- Hydrogen Embrittlement
- Mechanical Engineering (related to materials and coatings)

👨🏻‍🏫 Dr. Andre McDonald:

Open PhD position! We are seeking candidates for a new PhD position developing high entropy alloy coatings for hydrogen environments with Professor Mostafa Yakout. Please see the position description below.

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, University of Wisconsin Madison, US

☑️ Educational psychology

👩🏻‍🏫 Dr. Christy Starr:

I'm taking PhD students next year!  My lab focuses on STEM equity, motivation, and persistence, including barriers (like stereotypes) and sources of support (such as family). The Educational Psychology program is fantastic here.

",,,,,,,
"🇺🇸 PhD Position, University of Michigan, US 

  - Microbiology
   - Ecology
   - Environmental Science
   - Biological Sciences
   - Limnology
   - Water Quality
   - Genomics
   - Data Science 

👨🏻‍🏫 Dr. Greg Dick:

I anticipate recruiting two PhD students for Fall ’24 (or earlier) in the following areas:

1. Cyanobacterial blooms and their strain diversity and  interactions with heterotrophic bacteria

2. Broad metagenomic data to track biodiversity in the Great Lakes

Please email me (",,,,,,,
"🇺🇸 PhD Position, University of California Santa Barbara, US

- Environmental Science
- Ecology
- Forestry
- Climate Science
- Natural Resource Management
- Earth System Science
- Geospatial Analysis
- Ecosystem Science
- Environmental Studies

👩🏻‍🏫 Dr. Joan Dudney:

Interested in ",,,,,,,
"🇦🇹 PhD Position, St. Anna Children's Cancer Research Institute CCRI, Austria

☑️ Cancer research, Bioinformatics, Genomics 

👨🏻‍🏫 Dr. George Cresswell

🚨 More news!! This time we are hiring a PhD student! 🧬💻

We are looking for a passionate and motivated scientist to help drive our research forward! Apply now!

Find out more. 👇

",,,,,,,
"🇵🇹 PhD/Postdoc Position, University of Lisbon, Portugal

☑️ Environmental Engineering, Agronomy, Biology, and related fields

👩🏻‍🏫 Dr. Joana Portugal Pereira:

Exciting news! Join us in advancing sustainable agriculture. We're looking for passionate PhD and postdoc researchers to be part of the CRIKIT project.  Apply now: ",,,,,,,
"🇨🇦 PhD/MSc Positions, McGill University, Canada

- Ecology
- Environmental Science
- Conservation Biology
- Aquatic Biology
- Limnology
- Invasion Biology
- Climate Change Biology
- Biodiversity and Conservation
- Environmental Studies

👨🏻‍🏫 Dr. Anthony Ricciardi:

I’m recruiting MSc & PhD students to join my lab in Fall 2024 to study how climate change & habitat variables mediate the impacts of aquatic invasive species.

For application requirements, see info here: ",,,,,,,
"🇺🇸 PhD Position, University of Texas Austin, US

- Civil Engineering
- Environmental Engineering
- Coastal Engineering
- Remote Sensing
- Geospatial Engineering
- Geomatics
- Earth Sciences
- Geology
- Oceanography
- Environmental Sciences
- Environmental Data Science
- Hydrology
- Geotechnical Engineering (related to coastal hazards)

👨🏻‍🏫 Dr. Jun-Whan Lee:

📢 Call for Ph.D. Student Applications! 

The Coastal Hazards Lab in the Department of Civil, Architectural, and Environmental Engineering at The University of Texas at Austin is excited to invite applications from outstanding candidates for a Ph.D. position in our research group. Join us in Fall 2024 and embark on a journey to explore the fascinating world of coastal hazards through the lenses of ",,,,,,,
"🇺🇸 PhD Position, University of Tennessee Knoxville, US

☑️ Psychology

👩🏻‍🏫 Dr. Cynthia M. Navarro Flores:

Alejandro L. Vázquez and I are recruiting graduate students for the counseling psychology program (2024-2025 academic year). Please help spread the word to students who might be interested. Flyer below contains research interest and program information. Email us if interested!

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇨🇭 PhD Position , University of Geneva, Switzerland

- Physical Chemistry
- Materials Science
- Condensed Matter Physics
- Chemical Physics
- Crystallography
- Spectroscopy
- Optical Physics
- Molecular Sciences

👨🏻‍🏫 Dr. Takuji Adachi:

We are recruiting a PhD student! I appreciate if you can spread the words to students with a master degree or students who are finishing their master studies!!!

The topic of the PhD thesis will be about fundamental understanding of crystal nucleation process and polymorph selection at the molecular level. We have so far developed two unique in-situ optical spectroscopy methods to capture how crystals are born and to follow how nucleated crystal transform to different polymorphs depending on their environments. These methods are called, Single crystal nucleation spectroscopy (SCNS) and time-resolved dynamic light scattering microscopy (time-resolved microDLS).
You can find the details of these methods on the link below:
",,,,,,,
"🇪🇸 PhD/Postdoc Positions, University of Zaragoza, Spain

☑️ Computer Science or related fields in Graphics and Imaging 

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, Georgia Tech University, USA

☑️ Construction engineering

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, University of Maine, US

☑️ Mechanical Engineering with a focus on Building Energy Modeling

👨🏻‍🏫 Dr. Alex Friess:

I am looking for a PhD student in Mechanical Engineering with focus on Building Energy Modeling for an exciting DoE project with wood insulation... please share! ",,,,,,,
"🇺🇸 PhD Position, Northern Illinois University, USA

- Industrial Engineering
- Operations Research
- Mathematics

👨🏻‍🏫 Dr. Ziteng Wang:

I have an opening for PhD student in my research group starting in Spring 2024. Interested students with bachelor or master’s degrees in industrial engineering, operations research, mathematics, and other engineering and science disciplines are welcome to contact me. More information below. Feel free to recommend/share/like

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, University of Virginia, US

- Environmental Science
- Ecology
- Hydrology
- Water Resources Engineering
- Ecosystem Science
- Limnology
- Watershed Management
- Water Quality Modeling
- Ecohdydrology
- Environmental Modeling

👨🏻‍🏫 Dr. Frederick Cheng:

I'll be recruiting 1-2 PhD students to work on ecosystem and water quality modeling for fall 2024!


Learn more about each position and how to apply at ",,,,,,,
"🇸🇪 PhD Position, Orebro University, Sweden

☑️ Healthcare Science

👨🏻‍🏫 Dr. Dimitri Beeckman:

🔈 We are recruiting a PhD student with an strong interest in wound research at the doctoral programme in Medical Science, specialisation in Healthcare Sciences! More information: ",,,,,,,
"🇺🇸 PhD Position, University of Virginia, US

☑️ Coastal Ecology

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD/MSc Position, Vanderbilt University, USA

☑️ cognitive science, cognitive psychology, educational psychology, learning science, learning analytics

👩🏻‍🏫 Dr. Cristina Zepeda:

🔔Want to pursue a PhD or Masters researching the self regulation of learning? I’m recruiting students interested in understanding the metacognitive & motivational mechanisms that support students learning & transfer while centering equity.

You can apply to work w/ me to earn a PhD in Psychological Sciences through the Cognition in Context or Developmental Science programs. Apps due 12/1. 

And a MS in Cognitive Psychology in Context or a M.Ed Child Studies. Apps due 1/3 for Masters.

We’re excited to be growing the Advancing Learning Lab (ALL) 💫   

For more info see ",,,,,,,
"🇺🇸 PhD/Postdoc Position, North Eastern University, USA

- Psychology
- Developmental Psychology
- Biological Psychology
- Health Psychology
- Nutrition
- Neuroscience
- Behavioral Science
- Public Health
- Health Sciences
- Epidemiology
- Social Sciences (related to developmental stress biology and nutrition)

👩🏻‍🏫 Dr. Brie M Reid:

I am recruiting PhD students & postdocs at Northeastern
as an assistant professor in Psychology for Fall 2024! Looking for folks passionate about developmental stress biology & nutrition

 ",,,,,,,
"🇺🇸 PhD Position, Southern Methodist University, USA

☑️ Clinical Psychology

👨🏻‍🏫 Dr. Josh Oltmanns:

I am recruiting a clinical psychology PhD student to join my lab in the data science cluster at SMU in Dallas, TX next year. We develop AI for personality and mental health in diverse samples (using NLP/ML). Email me for more info, see website (",,,,,,,
"🇺🇸 PhD/Postdoc Position, University of Texas Arlington, US

- Civil Engineering
- Materials Science and Engineering
- Construction Engineering
- Structural Engineering
- Cement Chemistry
- Concrete Technology
- Materials Engineering
- Chemical Engineering (with a focus on materials)

👩🏻‍🏫 Dr. Warda Ashraf:

I have openings for a postdoctoral researcher and two Ph.D. research assistants in my group (Spring/ Fall 2024). Past research experience on cementitious materials is required. Email me your CV if you are interested [warda.ashraf(AT)uta(dot)edu]. Details of postdoc position: ",,,,,,,
"🇳🇱 PhD Position, Radboud University, Netherlands

☑️ communication and information science, communication science, applied linguistics, sociology or related 

👨🏻‍🏫 Dr. Sebastian Sadowski:

Exciting news! I am looking for a Ph.D. candidate to work with me, dr. Kobie van Krieken, and prof. dr. Jos Hornikx on a fascinating project exploring the effectiveness of prosocial storytelling. If you want to uncover which stories move hearts and increase helping behavior, please apply! All the info is available here: ",,,,,,,
"🇧🇪 PhD Position, Ghent University, Belgium

☑️ Medicine, Biomedical Sciences, Biotechnology, Bioscience engineering, Pharmaceutical sciences, or equivalent

",,,,,,,
"🇦🇺 PhD Position, Monash University, Australia

- Psychology
- Neuroscience
- Psychiatry
- Pharmacology
- Experimental Medicine
- Substance Abuse and Addiction Studies
- Clinical Research
- Mental Health

👨🏻‍🏫 Dr. Chris Letheby:

The Monash University Clinical Psychedelic Lab (",,,,,,,
"🇺🇸 PhD Position, Vanderbilt University, USA

- Special Education
- Bilingual Education
- Applied Linguistics
- Language and Literacy Education
- Speech-Language Pathology
- Disability Studies
- Education Psychology
- Educational Neuroscience
- Educational Policy

👨🏻‍🏫 Dr. Jason Chow:

We are excited to be recruiting PhD students for Fall 2024 who are interested in supporting linguistically diverse students with disabilities at vupeabody
--if you have questions please reach out!

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD/MS Position, University of Louisiana at Lafayette, US

☑️ Phytoplankton Ecology & Coastal Biological Oceanography

👩🏻‍🏫 Dr. Beth Stauffer:

Prospective students should email me directly to get the conversation started. I am most interested in students who would start in Fall 2024. Formal applications to the graduate program are due Feb 1, but I'd love to hear from prospective applicants by Nov 1 at the latest

",,,,,,,
"🏴󠁧󠁢󠁥󠁮󠁧󠁿 PhD/Postdoc Position, Imperial College London, England

- Immunology
- Cancer Biology
- Oncology
- Medical Sciences
- Biomedical Sciences
- Molecular Biology
- Genetics
- Biochemistry
- Cellular Biology
- Pharmacology
- Computational Biology
- Bioinformatics

👨🏻‍🏫 Dr. Ehsan Ghorani:

Recruiting!

Join as a postdoc or PhD student at Imperial College London, working on the immunology of gestational cancers. How does a cancer allograft escape immune destruction? MHC I is suppressed but we see a 75% cure rate with anti-PD1 therapy. Why? Lessons to be learned.

We're working at the world's largest centre for gestational cancer using clinical trial samples, in vitro/in vivo models, computational approaches. 

  

",,,,,,,
"🇨🇦 PhD/MSc Positions, University of Alberta, Canada

- Animal Behavior
- Behavioral Ecology
- Cognitive Psychology (with a focus on animal cognition)
- Ethology
- Wildlife Biology
- Zoology
- Comparative Psychology
- Neuroscience (with a focus on animal cognition)
- Evolutionary Biology (with a focus on animal behavior)
- Ecological Psychology

👩🏻‍🏫 Dr. Lauren Guillette:

I am accepting applications for fully-funded PhD & MSc students (Sept 2024 start) 

International applicants welcome & encouraged to apply!

Application process open now, closes 01 Dec 2023. Apply here: 
",,,,,,,
"🇺🇸 PhD Position, Temple University, USA

☑️ Cognition and Neuroscience

👨🏻‍🏫 Dr. Ames Sutton Hickey:

The ASH Lab is actively recruiting PhD students to come perform research in beautiful Philly on the neural basis of feeding behavior in our lab! If interested, apply here:

",,,,,,,
"🇦🇺 PhD Position, University of Melbourne, Australia

☑️ Statistics

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇨🇭PhD Position, University of Basel, Switzerland

☑️ biology, biochemistry, biotechnology, bioengineering, or a similar discipline

👨🏻‍🏫 Dr. Knut Drescher:

I have an opening for a PhD student working on molecular biology of bacterial biofilms. 

More info here: ",,,,,,,
"🇺🇸 PhD Position, Columbia University, USA

- Civil Engineering
- Engineering Mechanics
- Computational Mechanics
- Materials Science and Engineering
- Mechanical Engineering
- Applied Mathematics
- Geotechnical Engineering
- Structural Engineering
- Computational Physics
- Fluid Mechanics
- Continuum Mechanics
- Computational Materials Science
- Computational Geomechanics
- Porous Media Physics
- Granular Physics

👨🏻‍🏫 Dr. Steve Sun:

My research group has a fully-funded PhD position opening next year.  The position will be funded by the DOE NNSA PSAAP center (",,,,,,,
"🇺🇸 PhD Position, Colorado State University, USA

☑️ Computer Science

👨🏻‍🏫 Dr. Mohammed Safayet Arefin:

I am looking for motivated and enthusiastic Ph.D. students in Computer Science for my lab (ARefin Lab) at Colorado State University starting in Fall 2024. My lab's research focuses on augmented and virtual reality, applied and visual perception, perceptual imaging, eye tracking, and human-centered computing. To learn more about our research, visit the lab webpage - ",,,,,,,
"🇺🇸 PhD Position, University of Massachusetts Amherst, US


- Human Factors Engineering
- Mechanical Engineering
- Industrial Engineering
- Computer Science
- Data Science
- Engineering
- Mathematics
- Psychology
- Statistical Sciences

👩🏻‍🏫 Dr. Shannon Roberts:

I am looking for two new PhD students to join me in Fall 2024! If you are interested, please message me.

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD/Postdoc Positions, University of Pennsylvania, USA

- Bioinformatics
- Biochemistry
- Cryo-electron Microscopy (cryo-EM)

👨🏻‍🏫 Dr. Andrew Santiago-Frangos:

📢I'm hiring! Postdocs, PhDs, and Research Techs at Dept. of 
Biology! We'll use bioinformatics 🖥️, biochem 🧪, and cryo-EM ❄️🔬, to study how CRISPR systems work & applications. Work on cool science with a supportive mentor!
",,,,,,,
"🇺🇸 PhD Position, Arizona State University, USA

☑️ Psychology

👨🏻‍🏫 Dr. Em Matsuno:

I’ll be accepting a PhD student for the upcoming application cycle. Spread the word to students who may be interested! Learn more about our lab at ",,,,,,,
"🇺🇸 MSc/PhD Position, Virginia Institute of Marine Science, US

☑️ Fish Science

👩🏻‍🏫 Dr. Angelina Dichiera:

I'm looking for 1-2 grad students to come do some cool fish science with me starting next summer or fall!

For more info: ",,,,,,,
"🇺🇸 PhD Position, University of Missouri S&T, US

☑️ Bioanalytical and Environmental chemistry

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇨🇦 PhD/MSc Positions, University of Victoria, Canada

- Microbiology
- Entomology
- Parasitology
- Symbiosis
- Virology
- Host-Pathogen Interactions
- Molecular Biology
- Genetics

👨🏻‍🏫 Dr. Matt Ballinger:

Microbiology and entomology friends, my lab is looking for grad students! Project areas: 1) defensive symbiosis 2) very (very) cool new parasitoid biology 3) virus-host interactions All in Drosophila. More at ",,,,,,,
"🇬🇧 PhD Position, University of Kent, UK

- Mathematics
- Computer Science
- Logic
- Category Theory
- Type Theory
- Functional Programming

👨🏻‍🏫 Dr. Marco Paviotti:

I am looking for a PhD student to work on topics which include, but not limited to, category theory, type theory and functional programming.

Deadline for applications at Kent is January. 

If you're interested please reach out to me!

",,,,,,,
"🇫🇷 PhD Position, Institut Langevin - Ondes et images, France 


- Physics
- Quantum Physics
- Quantum Optics
- Quantum Information Science
- Materials Science
- Engineering Physics
- Optics
- Photonics
- Quantum Engineering

👩🏻‍🏫 Dr. Anne Louchet-Chauvet:

We are looking for a PhD candidate to work with us on an exciting quantum sensing project ! Come join Institut Langevin - Ondes et images to work on the development of a cryogenic inertial sensor based on a rare-earth ion-doped crystal!

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, University of Texas Dallas, US

- Electrical Engineering
- Computer Engineering
- Machine Learning
- Speech Synthesis
- Voice Conversion
- Emotion Recognition
- Natural Language Processing
- Signal Processing

👩🏻‍🏫 Dr. Berrak Sisman:

Hi everyone, I have Ph.D. position openings in Speech & Machine Learning Lab at The University of Texas at Dallas Department of Electrical & Computer Engineering for Spring & Fall 2024, in machine learning for expressive speech synthesis, voice conversion and emotion. If you are interested and have background in these areas, send me your CV, academic transcripts, and TOEFL/IELTS and GRE scores at ",,,,,,,
"🇳🇱 PhD Position, University o Groningen, Netherlands

- Electrochemical Engineering
- Chemical Engineering
- Material Science
- Energy Storage
- Electrochemistry

👨🏻‍🏫 Dr. Vassilis Kyriakou:

Are you looking for a PhD on electrochemical engineering? Our team is looking for a highly motivated student on electrocatalysis for the activation of abundant molecules in protonic and co-ionic ceramic membrane reactors. This position is part of our ECOLEFINS project (",,,,,,,
"🇸🇪 PhD/Postdoc Position, Uppsala University, Sweden

- Biomaterials
- Biomedical Engineering
- Biotechnology
- Materials Science
- Biochemistry
- Immunology

👨🏻‍🏫 Dr. Hongji Yan:

I will soon start recruiting a PhD student and a Postdoc researcher. Please be in touch via email with the relevant subject. The topic in on the hydrogel for biomedical purposes. Keywords: ",,,,,,,
"🇺🇸 PhD Position, University of Nebraska Lincoln, US

- Power Electronics
- Electrical Engineering
- Electronics Engineering
- Digital Signal Processing
- FPGA (Field-Programmable Gate Array) Design
- Power Systems
- Energy Systems

👨🏻‍🏫 Dr. Jun Wang:

I am hiring brilliant and dedicated Ph.D. students in Spring/Summer/Fall 2024 at the Power & Energy Systems Laboratory (PESL) of the University of Nebraska-Lincoln. Students with an excellent academic background and experience in WBG Power Electronics (circuits or packaging) and digital controllers (FPGA) are preferred. Financial support will start from $31,200/year for graduate research assistantships plus potential recruitment fellowships up to $8,000/year (if you are outstanding). Please do not hesitate to contact me at ",,,,,,,
"🇺🇸 PhD Position, Villanova University, US

- Electrical Engineering
- Computer Engineering
- Wireless Communication
- Machine Learning
- Mathematics
- Programmin

👨🏻‍🏫 Dr. Mojtaba Vaezi:

I'm looking for Ph.D. students to join our group in Spring 2024 and/or Fall 2024, to work on NSF-funded projects. We need self-motivated individuals with strong math and programming skills, interested in wireless communication and machine learning. If interested, email me at ",,,,,,,
"🇺🇸 PhD/MSc Position, Michigan Tech University, USA 

- Civil Engineering
- Biomedical Engineering
- Materials Science and Engineering
- Non-Destructive Testing
- Material Characterization
- Signal Processing
- Imaging Techniques

👨🏻‍🏫 Dr. Quang Tran:

My lab has 1-2 M.S./ Ph.D. positions available. Research topics include development of non-invasive methods to detecting flaws and characterize material properties for civil and biomedical fields. Please email me if you are interested: ",,,,,,,
"🇨🇦 PhD Position, University of Windsor, Canada

☑️ Structural engineering

👩🏼‍🏫 Dr. Fatemeh Valikhah:

Open PhD Position:
We are hiring PhD Student in ""Structural Engineering"" at the University of Windsor, ON, Canada.
Please refer to the additional information about this position in the provided PDF document.
Interested candidates can contact me to apply at ",,,,,,,
"🇩🇪 PhD/Postdoc Positions, TU Darmstadt, Germany 

- Robotics
- Machine Learning
- Computer Vision
- Control Systems
- Artificial Intelligence
- Human-Computer Interaction (HCI)
- Graph Theory and Machine Learning
- Safety Engineering

",,,,,,,
"🇨🇦 PhD Position, University of Toronto, Canada

- Human-Computer Interaction (HCI)
- Information Technology for sustainability
- Civic Technology (Civic Tech)
- Computer-Supported Cooperative Work (CSCW)
- Computing within Limits
- Ethical and Responsible Technology
- Sustainable Software Engineering

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
"🇺🇸 PhD Position, Lehigh University, US


- Mathematical Optimization and Modeling
- Design Optimization and Control of Interconnected Critical Infrastructure Systems
- Water-Energy-Building nexus
- Cybersecurity of smart water systems
- Deep-learning methods
- Smart City for Net Zero Energy-Water-Waste
- Water Resources Engineering
- Cybersecurity for Cyber Physical Systems

👩🏻‍🏫 Dr. Faegheh 'Farrah' Moazeni:

A fully funded PhD position is available in my group for the fall of 2024. Please read the advertisement and apply if you are interested. Also, I would appreciate it if you shared this post with your network. Unfortunately, I will not be able to respond to all emails; I apologize in advance.

🏛 آذراپلای: مرجع تحصیل در خارج

🌐 ",,,,,,,
